category,name,ingredient_direction,quantity,unit,ingredient,note
The Unforgettables,Old Fashioned,45 ml Bourbon or Rye Whiskey,45,ml,Bourbon or Rye Whiskey,NA
The Unforgettables,Old Fashioned,1 Sugar Cube,1,piece,Sugar Cube,NA
The Unforgettables,Old Fashioned,Few Dashes Angostura Bitters,few,dash,Angostura Bitters,NA
The Unforgettables,Old Fashioned,Few Dashes Plain Water,few,dash,Plain Water,NA
The Unforgettables,Paradise,30 ml Gin,30,ml,Gin,NA
The Unforgettables,Paradise,20 ml Apricot Brandy,20,ml,Apricot Brandy,NA
The Unforgettables,Paradise,15 ml Fresh Orange Juice,15,ml,Fresh Orange Juice,NA
The Unforgettables,Planter's Punch,45 ml Jamaican Rum,45,ml,Jamaican Rum,NA
The Unforgettables,Planter's Punch,15 ml Lime Juice,15,ml,Lime Juice,NA
The Unforgettables,Planter's Punch,30 ml Sugar Cane Juice,30,ml,Sugar Cane Juice,NA
The Unforgettables,Porto Flip,15 ml Brandy,15,ml,Brandy,NA
The Unforgettables,Porto Flip,45 ml Red Tawny Port Wine,45,ml,Red Tawny Port Wine,NA
The Unforgettables,Porto Flip,10 ml Egg Yolk,10,ml,Egg Yolk,NA
The Unforgettables,Ramos Fizz,45 ml Gin,45,ml,Gin,NA
The Unforgettables,Ramos Fizz,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
The Unforgettables,Ramos Fizz,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
The Unforgettables,Ramos Fizz,30 ml Sugar Syrup,30,ml,Sugar Syrup,NA
The Unforgettables,Ramos Fizz,60 ml Cream,60,ml,Cream,NA
The Unforgettables,Ramos Fizz,30 ml Egg white,30,ml,Egg white,NA
The Unforgettables,Ramos Fizz,3 Dashes Orange Flower Water,3,dash,Orange Flower Water,NA
The Unforgettables,Ramos Fizz,2 Drops Vanilla Extract,2,drops,Vanilla Extract,NA
The Unforgettables,Ramos Fizz,Soda Water,1,top up,Soda Water,NA
The Unforgettables,Rusty Nail,45 ml Scotch Whisky,45,ml,Scotch Whisky,NA
The Unforgettables,Rusty Nail,25 ml Drambuie,25,ml,Drambuie,NA
The Unforgettables,Sazerac,50 ml Cognac,50,ml,Cognac,NA
The Unforgettables,Sazerac,10 ml Absinthe,10,ml,Absinthe,NA
The Unforgettables,Sazerac,1 Sugar Cube,1,piece,Sugar Cube,NA
The Unforgettables,Sazerac,2 Dashes Peychaud's Bitters,2,dash,Peychaud's Bitters,NA
The Unforgettables,Sidecar,50 ml Cognac,50,ml,Cognac,NA
The Unforgettables,Sidecar,20 ml Triple Sec,20,ml,Triple Sec,NA
The Unforgettables,Sidecar,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,NA
The Unforgettables,Stinger,50 ml Cognac,50,ml,Cognac,NA
The Unforgettables,Stinger,20 ml White Crème de Menthe,20,ml,White Crème de Menthe,NA
The Unforgettables,Tuxedo,30 ml Old Tom Gin,30,ml,Old Tom Gin,NA
The Unforgettables,Tuxedo,30 ml Dry Vermouth,30,ml,Dry Vermouth,NA
The Unforgettables,Tuxedo,1/2 Bar Spoon Maraschino Luxardo,1/2,bar spoon,Maraschino Luxardo,NA
The Unforgettables,Tuxedo,1/4 Bar Spoon of Absinthe,1/4,bar spoon,Absinthe,NA
The Unforgettables,Tuxedo,3 Dashes Orange Bitters,3,dash,Orange Bitters,NA
The Unforgettables,Vieux Carrè,30 ml Rye Whiskey,30,ml,Rye Whiskey,NA
The Unforgettables,Vieux Carrè,30 ml Cognac,30,ml,Cognac,NA
The Unforgettables,Vieux Carrè,30 ml Sweet Vermouth,30,ml,Sweet Vermouth,NA
The Unforgettables,Vieux Carrè,1 Bar Spoon Bénédictine,1,bar spoon,Bénédictine,NA
The Unforgettables,Vieux Carrè,2 Dashes Peychaud's Bitters,2,dash,Peychaud's Bitters,NA
The Unforgettables,Whiskey Sour,45 ml Bourbon Whiskey,45,ml,Bourbon Whiskey,NA
The Unforgettables,Whiskey Sour,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,NA
The Unforgettables,Whiskey Sour,20 ml Sugar Syrup,20,ml,Sugar Syrup,NA
The Unforgettables,Whiskey Sour,20 ml Egg White (Optional),20,ml,Egg White,Optional
The Unforgettables,White Lady,40 ml Gin,40,ml,Gin,NA
The Unforgettables,White Lady,30 ml Triple Sec,30,ml,Triple Sec,NA
The Unforgettables,White Lady,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,NA
